Year,Team.Initials,Opponent.Initials,Result
2018,RUS,KSA,W
2018,EGY,URU,L
2018,MAR,IRN,L
2018,POR,ESP,D
2018,FRA,AUS,W
2018,ARG,ISL,D
2018,PER,DEN,L
2018,CRO,NGA,W
2018,CRC,SRB,L
2018,GER,MEX,L
2018,BRA,SUI,D
2018,SWE,KOR,W
2018,BEL,PAN,W
2018,TUN,ENG,L
2018,COL,JPN,L
2018,POL,SEN,L
2018,RUS,EGY,W
2018,POR,MAR,W
2018,URU,KSA,W
2018,IRN,ESP,L
2018,DEN,AUS,D
2018,FRA,PER,W
2018,ARG,CRO,L
2018,BRA,CRC,W
2018,NGA,ISL,W
2018,SRB,SUI,L
2018,BEL,TUN,W
2018,KOR,MEX,L
2018,GER,SWE,W
2018,ENG,PAN,W
2018,JPN,SEN,D
2018,POL,COL,L
2018,KSA,EGY,W
2018,URU,RUS,W
2018,IRN,POR,D
2018,ESP,MAR,D
2018,AUS,PER,L
2018,DEN,FRA,D
2018,NGA,ARG,L
2018,ISL,CRO,L
2018,MEX,SWE,L
2018,KOR,GER,W
2018,SUI,CRC,D
2018,SRB,BRA,L
2018,SEN,COL,L
2018,JPN,POL,L
2018,ENG,BEL,L
2018,PAN,TUN,L
2018,FRA,ARG,W
2018,URU,POR,W
2018,ESP,RUS,L
2018,CRO,DEN,W
2018,BRA,MEX,W
2018,BEL,JPN,W
2018,SWE,SUI,W
2018,COL,ENG,L
2018,URU,FRA,L
2018,BRA,BEL,L
2018,SWE,ENG,L
2018,RUS,CRO,L
2018,FRA,BEL,W
2018,CRO,ENG,W
2018,BEL,ENG,W
2018,FRA,CRO,W
